Dataset	ScanNumber	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
407579	238	0.242	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
407579	239	0.272	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.75
407579	240	0.258	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.55
407579	241	0.233	1.78	1	223.0740	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.56
407579	242	0.226	1.78	1	222.9216	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.56
407579	243	0.248	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.58
407579	244	0.228	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.58
407579	245	0.231	1.78	1	223.0460	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.58
407579	246	0.253	1.78	1	223.0042	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.58
407579	247	0.245	1.78	1	222.9914	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.60
407579	248	0.230	1.78	1	223.0270	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.65
407579	249	0.212	1.78	1	223.0019	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	250	0.241	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	251	0.233	1.78	1	223.0779	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	252	0.253	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.69
407579	253	0.249	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.74
407579	254	0.243	1.78	1	223.0470	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.58
407579	255	0.262	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	256	0.279	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.57
407579	257	0.291	1.78	1	223.0432	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.59
407579	258	0.273	1.78	1	223.0320	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.59
407579	259	0.266	1.78	1	223.0617	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	260	0.261	1.78	1	223.0433	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	261	0.266	1.78	1	223.0282	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	262	0.267	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	263	0.259	1.78	1	222.9251	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	264	0.292	1.78	1	223.0728	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.62
407579	265	0.285	1.78	1	223.0736	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.67
407579	266	0.284	1.78	1	223.0240	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.70
