Dataset	ScanNumber	Ion Injection Time (ms)	Analyzer Temperature	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	PS Inj. Time (ms)	Analog Input 1 (V)	Analog Input 2 (V)	Scan Filter Text	Source TMP Temperature (°C)
286691	81	100.000	30.93	67865530.5432	-16138891.6952	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	82	100.000	30.93	67865530.6851	-16138891.7628	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	83	100.000	30.93	67865531.6729	-16138892.2322	-5.37	-0.02	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	84	100.000	30.93	67865531.0810	-16138891.9506	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	85	100.000	30.93	67865530.7871	-16138891.8104	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	86	100.000	30.93	67865531.2434	-16138892.0278	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	87	100.000	30.93	67865531.1172	-16138891.9677	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	88	100.000	30.93	67865530.5881	-16138891.7159	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	89	100.000	30.93	67865530.6988	-16138891.7692	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	90	100.000	30.93	67865530.2688	-16138891.5644	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	91	100.000	30.93	67865530.3105	-16138891.5836	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	92	100.000	30.93	67865529.8305	-16138891.3559	-5.37	-0.04	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	93	100.000	30.93	67865531.0572	-16138891.9400	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	94	100.000	30.93	67865529.5136	-16138891.2056	-5.37	-0.04	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	95	100.000	30.93	67865529.9986	-16138891.4361	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	96	100.000	30.93	67865529.9749	-16138891.4249	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	97	100.000	30.93	67865531.5364	-16138892.1672	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	98	100.000	30.93	67865534.1678	-16138893.4190	-5.37	0	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	99	100.000	30.93	67865534.1149	-16138893.3937	-5.37	0	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	100	100.000	30.93	67865534.1779	-16138893.4243	-5.37	0	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	101	100.000	30.93	67865534.2030	-16138893.4353	-5.37	0	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	102	100.000	30.93	67865534.0875	-16138893.3810	-5.37	0	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	103	100.000	30.93	67865534.1498	-16138893.4103	-5.37	0	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	104	100.000	30.93	67865532.0420	-16138892.4074	-5.37	-0.02	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	105	100.000	30.93	67865528.4577	-16138890.7024	-5.37	-0.05	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	106	100.000	30.93	67865530.0534	-16138891.4618	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	107	100.000	30.93	67865530.5304	-16138891.6886	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	108	100.000	30.93	67865530.6666	-16138891.7539	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	109	100.000	30.93	67865531.0617	-16138891.9409	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	110	100.000	30.93	67865531.1143	-16138891.9672	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	111	100.000	30.93	67865531.0792	-16138891.9502	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	112	100.000	30.93	67865530.9893	-16138891.9075	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	113	100.000	30.93	67865531.0918	-16138891.9556	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	114	100.000	30.93	67865530.4066	-16138891.6301	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	115	100.000	30.93	67865530.9937	-16138891.9095	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	116	100.000	30.93	67865531.0677	-16138891.9442	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	117	100.000	30.93	67865530.4563	-16138891.6537	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	118	100.000	30.93	67865530.6659	-16138891.7543	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	119	100.000	30.93	67865530.2424	-16138891.5518	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	120	100.000	30.93	67865530.7364	-16138891.7875	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	121	100.000	30.93	67865531.0207	-16138891.9221	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	122	100.000	30.93	67865530.3341	-16138891.5952	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	123	100.000	30.93	67865530.5781	-16138891.7120	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	124	100.000	30.93	67865530.6878	-16138891.7642	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	125	100.000	30.93	67865530.5034	-16138891.6759	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	126	100.000	30.93	67865530.5155	-16138891.6817	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	127	100.000	30.93	67865530.6608	-16138891.7504	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	128	100.000	30.93	67865530.3433	-16138891.6006	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	129	100.000	30.93	67865530.5600	-16138891.7040	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	130	100.000	30.93	67865530.4102	-16138891.6311	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	131	100.000	30.93	67865530.5483	-16138891.6976	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	132	100.000	30.93	67865530.0695	-16138891.4691	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	133	100.000	30.93	67865530.7695	-16138891.8022	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	134	100.000	30.93	67865530.5931	-16138891.7185	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	135	100.000	30.93	67865530.6355	-16138891.7386	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	136	100.000	30.93	67865530.6369	-16138891.7398	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	137	100.000	30.93	67865530.7918	-16138891.8139	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	138	100.000	30.93	67865530.3908	-16138891.6228	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	139	100.000	30.93	67865530.4631	-16138891.6564	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	140	100.000	30.93	67865530.9518	-16138891.8895	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	141	100.000	30.93	67865530.4094	-16138891.6308	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	142	100.000	30.93	67865530.9212	-16138891.8749	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	143	100.000	30.93	67865530.6667	-16138891.7545	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	144	100.000	30.93	67865531.2273	-16138892.0203	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	145	100.000	30.93	67865530.7471	-16138891.7919	-5.37	-0.03	5.000	-0.221	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	146	100.000	30.93	67865531.2623	-16138892.0369	-5.37	-0.03	5.000	-0.221	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	147	100.000	30.93	67865530.8081	-16138891.8218	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	148	100.000	30.93	67865530.9665	-16138891.8966	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	149	100.000	30.93	67865530.9719	-16138891.8992	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	150	100.000	30.93	67865530.8773	-16138891.8540	-5.37	-0.03	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	151	100.000	30.93	67865531.2955	-16138892.0532	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	152	100.000	30.93	67865531.2169	-16138892.0153	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	153	100.000	30.93	67865530.9075	-16138891.8682	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	154	100.000	30.93	67865531.0267	-16138891.9248	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	155	100.000	30.93	67865531.0172	-16138891.9208	-5.37	-0.03	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
