Dataset	ScanNumber	Scan Filter Text	Source Temperature
251367	416	+ c EI Q1MS [50.000-600.000]	250.48
251367	417	+ c EI Q1MS [50.000-600.000]	250.48
251367	418	+ c EI Q1MS [50.000-600.000]	250.48
251367	419	+ c EI Q1MS [50.000-600.000]	250.48
251367	420	+ c EI Q1MS [50.000-600.000]	250.48
251367	421	+ c EI Q1MS [50.000-600.000]	250.48
251367	422	+ c EI Q1MS [50.000-600.000]	250.48
251367	423	+ c EI Q1MS [50.000-600.000]	250.60
251367	424	+ c EI Q1MS [50.000-600.000]	250.60
251367	425	+ c EI Q1MS [50.000-600.000]	250.60
251367	426	+ c EI Q1MS [50.000-600.000]	250.60
251367	427	+ c EI Q1MS [50.000-600.000]	250.60
251367	428	+ c EI Q1MS [50.000-600.000]	250.60
251367	429	+ c EI Q1MS [50.000-600.000]	250.60
251367	430	+ c EI Q1MS [50.000-600.000]	250.60
251367	431	+ c EI Q1MS [50.000-600.000]	250.51
251367	432	+ c EI Q1MS [50.000-600.000]	250.51
251367	433	+ c EI Q1MS [50.000-600.000]	250.51
251367	434	+ c EI Q1MS [50.000-600.000]	250.51
251367	435	+ c EI Q1MS [50.000-600.000]	250.51
251367	436	+ c EI Q1MS [50.000-600.000]	250.51
251367	437	+ c EI Q1MS [50.000-600.000]	250.51
251367	438	+ c EI Q1MS [50.000-600.000]	250.63
251367	439	+ c EI Q1MS [50.000-600.000]	250.63
251367	440	+ c EI Q1MS [50.000-600.000]	250.63
251367	441	+ c EI Q1MS [50.000-600.000]	250.63
251367	442	+ c EI Q1MS [50.000-600.000]	250.63
251367	443	+ c EI Q1MS [50.000-600.000]	250.63
251367	444	+ c EI Q1MS [50.000-600.000]	250.63
251367	445	+ c EI Q1MS [50.000-600.000]	250.63
251367	446	+ c EI Q1MS [50.000-600.000]	250.69
251367	447	+ c EI Q1MS [50.000-600.000]	250.69
251367	448	+ c EI Q1MS [50.000-600.000]	250.69
251367	449	+ c EI Q1MS [50.000-600.000]	250.69
251367	450	+ c EI Q1MS [50.000-600.000]	250.69
251367	451	+ c EI Q1MS [50.000-600.000]	250.69
251367	452	+ c EI Q1MS [50.000-600.000]	250.69
251367	453	+ c EI Q1MS [50.000-600.000]	250.76
251367	454	+ c EI Q1MS [50.000-600.000]	250.76
251367	455	+ c EI Q1MS [50.000-600.000]	250.76
251367	456	+ c EI Q1MS [50.000-600.000]	250.76
251367	457	+ c EI Q1MS [50.000-600.000]	250.76
251367	458	+ c EI Q1MS [50.000-600.000]	250.76
251367	459	+ c EI Q1MS [50.000-600.000]	250.76
251367	460	+ c EI Q1MS [50.000-600.000]	250.76
251367	461	+ c EI Q1MS [50.000-600.000]	250.51
251367	462	+ c EI Q1MS [50.000-600.000]	250.51
251367	463	+ c EI Q1MS [50.000-600.000]	250.51
251367	464	+ c EI Q1MS [50.000-600.000]	250.51
251367	465	+ c EI Q1MS [50.000-600.000]	250.51
251367	466	+ c EI Q1MS [50.000-600.000]	250.51
251367	467	+ c EI Q1MS [50.000-600.000]	250.51
251367	468	+ c EI Q1MS [50.000-600.000]	250.76
251367	469	+ c EI Q1MS [50.000-600.000]	250.76
251367	470	+ c EI Q1MS [50.000-600.000]	250.76
251367	471	+ c EI Q1MS [50.000-600.000]	250.76
251367	472	+ c EI Q1MS [50.000-600.000]	250.76
251367	473	+ c EI Q1MS [50.000-600.000]	250.76
251367	474	+ c EI Q1MS [50.000-600.000]	250.76
251367	475	+ c EI Q1MS [50.000-600.000]	250.76
251367	476	+ c EI Q1MS [50.000-600.000]	250.79
251367	477	+ c EI Q1MS [50.000-600.000]	250.79
251367	478	+ c EI Q1MS [50.000-600.000]	250.79
