Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Orbitrap Resolution	Dependency Type	Master Scan Number	Monoisotopic M/Z	Charge State	HCD Energy	MS2 Isolation Width	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	Resolution Comp. (ppm)	RawOvFtT	Injection t0	Collision Mode	Scan Filter Text	Source Pressure
706505	552	Predicted	6.821	0.261	30000	1	543	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	347326.6	-0.019	sa_cid	FTMS + c ESI d sa Full ms2 648.8461@etd121.47 648.8461@cid30.00 [100.0000-1308.0000]	2.557
706505	553	Predicted	12.465	0.135	30000	1	519	0	2	-35.76	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	700022.9	0.043	hcd	FTMS + c ESI d Full ms2 649.8489@hcd30.00 [100.0000-1310.0000]	2.557
706505	554	Predicted	41.622	0.135	30000	1	519	0	2	-32.55	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	734342.9	0.033	hcd	FTMS + c ESI d Full ms2 583.2987@hcd30.00 [100.0000-1177.0000]	2.557
706505	555	Predicted	11.773	0.256	30000	1	553	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	343796.6	-0.032	etd	FTMS + c ESI d Full ms2 649.8489@etd121.47 [100.0000-1310.0000]	2.557
706505	556	Predicted	10.780	0.258	30000	1	553	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	388398.2	0.014	sa_hcd	FTMS + c ESI d sa Full ms2 649.8489@etd121.47 649.8489@hcd30.00 [100.0000-1310.0000]	2.557
706505	557	Predicted	10.780	0.265	30000	1	553	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	374838.8	-0.027	sa_cid	FTMS + c ESI d sa Full ms2 649.8489@etd121.47 649.8489@cid30.00 [100.0000-1310.0000]	2.558
706505	558	Predicted	30.101	0.274	30000	1	554	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	363440.6	0.011	etd	FTMS + c ESI d Full ms2 583.2987@etd121.47 [100.0000-1177.0000]	2.558
706505	559	Predicted	27.524	0.274	30000	1	554	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	335098.3	-0.037	sa_hcd	FTMS + c ESI d sa Full ms2 583.2987@etd121.47 583.2987@hcd30.00 [100.0000-1177.0000]	2.558
706505	560	Predicted	27.524	0.281	30000	1	554	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	318342.4	-0.001	sa_cid	FTMS + c ESI d sa Full ms2 583.2987@etd121.47 583.2987@cid30.00 [100.0000-1177.0000]	2.558
706505	561	On	0.240	0.146	60000	0	-1	-1.0000	0	-1.00	-1.00	211723736.938304	-151810979.295432	-6.75	-0.14	-0.17	513330.1	-0.020		FTMS + p ESI Full ms [350.0000-2000.0000]	2.558
706505	562	Predicted	0.386	0.199	30000	1	540	0	3	-25.99	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	665635.1	0.042	hcd	FTMS + c ESI d Full ms2 432.8997@hcd30.00 [100.0000-1309.0000]	2.558
706505	563	Predicted	0.417	0.135	30000	1	540	0	3	-26.01	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	420699.3	0.028	hcd	FTMS + c ESI d Full ms2 433.9021@hcd30.00 [100.0000-1312.0000]	2.558
706505	564	Predicted	6.821	0.249	30000	1	540	0	2	-35.71	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	609679.9	0.026	hcd	FTMS + c ESI d Full ms2 648.8460@hcd30.00 [100.0000-1308.0000]	2.558
706505	565	Predicted	0.370	0.198	30000	1	562	0	3	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	525800.4	-0.001	etd	FTMS + c ESI d Full ms2 432.8997@etd53.99 [100.0000-1309.0000]	2.558
706505	566	Predicted	0.350	0.180	30000	1	562	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	452980.6	0.004	sa_hcd	FTMS + c ESI d sa Full ms2 432.8997@etd53.99 432.8997@hcd30.00 [100.0000-1309.0000]	2.558
